Socialization is an extremely important part of schooling.  ________’s article on socialization and education brought to light many down-to-earth elements of teaching.  District standards and district multiple measures (tests), have altered teaching to better match what will be tested at the end of the year.  Meeting grade level goals seems to be more of a socialization goal for first graders.|Arnstine|In early grades, it’s more important for children to learn how to be social than to actually learn the technical curriculum.
It is possible to attempt a _______ between education and socialization.  Teachers feel tremendous amount of pressure to prepare their students for standardized tests.  The students in these classes are missing out on the most important educational experiences due to pressure placed on their teachers to get their students to perform well on tests.|balance|Although pressure is put on teachers to have students perform well on standardized tests, it is equally important for a focus to be placed on socialization.
Schools typically evaluate children applying to pre-kindergarten and kindergarten to determine school _________.|readiness|
Many teachers have removed projects and theme units so they can cover the material.  Teachers should feel encouraged to educate with projects and theme units.  This is where _________ really takes place.|education|Teachers commonly feel pressed for time due to crowded curricula.  Therefore activities such as theme units and group projects are often taken away, to the detriment of socialization.
______ defined four stages of cognitive development.  An important characteristic of the preoperational stage is that the child is very egocentric--he/she has difficulties seeing another person's point of view.|Piaget|The Preoperational Stage is the second stage, and lasts approximately from 2-7 years of age.  An example of egocentrism is a boy assuming that all boys share his fear of dogs, or being unable to understand that his father is too tired to play even though the boy is full of energy.
Educators must guide students to discern between the benefits and opportunities of globalization and the new information technologies on one hand, and the dangers, threats, and pitfalls on the other. We must develop in them the sense of freedom and ______________ in making the right choices.|responsibility|Along with the freedom to make choices is the responsibility to make the right choices.  This is an essential factor for socialization.
The first step in any ____ is determining the objectives.|plan|In any plan, whether it's a token economy, or some other kind of teaching plan, the first step is determining your objectives, or what you want to accomplish with the students or your classroom as a result of this plan.
Just two years after the UN proclaimed the year 2000 as the International Year of the Culture of _____, ushering a global effort of transforming our culture of violence and death into a culture of peace, we live in an Age of Terror; fear and insecurity, and we have embraced a culture of greed.|peace|In a time when terror, fear and insecurity, and an embraced culture of greed have become so prevalent, many nations and organizations such as the UN have made definite efforts to show the importance of Peace to youth, for a peaceful environment in which to grow and develop.
____________ is the principle that the amount or number of something remains the same even if the arrangement or appearance is changed--as long as nothing is added and nothing is taken away.|Conservation|Having difficulty with the concept of Conservation is a characteristic of the preoperational stage, as defined by Piaget.  For example, you take two equal balls of play-doh, and a boy agrees that both have the same amount of play-doh.  Then you flatten one of the balls so it is like a pancake, and the boy says the pancake now has more play-doh than the ball--this boy is in the preoperational stage, having difficulty with conservation.
Kerry J. _______’s paper entitled, “Building Civic Capacity for a New Century: Engaging Young People in Civic Institutions and Civil Society,” called education a key factor in change.|Kennedy|Education is a primary factor in change, as it influences the voices and the decision-makers of tomorrow.
Perspective-taking is the ability to assume another person's perspective and __________ his/her thoughts and feelings.|understand|Perspective-taking develops over time, until older adolescents and adults can even imagine how different cultural or social values would influence someone's perceptions.
He (Kennedy) says there is undoubtedly a role for the school __________ as the single most important policy instrument societies have to develop civic capacity in young people. He asks what should be the nature of the school’s mission in the new century, and how can it contribute to capacity building in future citizens.|curriculum|Since education is such a key factor in change, it is only natural that the mission of schools should be to form children with the best interests of society, and change in mind.
Employers and schools alike are beginning to recognize the importance of a School-to-____ system.|Work|School-to-work programs are being used more and more to prepare students for the work world, as opposed to preparing students who are only used to an academic atmosphere.
If in two different settings, the same people take a professional certification test twice, and they score in the same performance bracket both times, then the certification test is said to be ________.|reliable|The test is reliable, because it provides consistent results.  It doesn't matter when people take it, if they take it one week to the next--assuming their abilities have not changed--the test returns the same results.
