Some people believe that only actions that have been made _______ are immoral. |illegal|Some people believe that it is the job of the government to legislate against immoral behavior. After all, governments criminalize activities such as murder, theft and kidnapping. However, laws are made by politicians who may have an agenda which may not always be morally correct. Laws vary from place to place, whereas key moral principles are universal. For example, the extermination of the Jews by Hitler was not illegal yet virtually everyone will agree that it is immoral.
The duty to help others in need is called the duty of beneficence, whereas the duty to not harm others is called the duty of ______________. |nonmaleficence|
Some moral philosophers, such as WD Ross, believe that there are certain basic moral principles which are ____________, and he called them our prima facie duties. |self evident|Ross and some other philosophers believe that these principles do not require proof and are just so. These are duties, so can be broken should conflict arise.
The prima facie duties can be overridden, for example, where the duty to ____ would outweigh the probable consequences of keeping a promise. |help|An example best illustrates this answer. Jill has borrowed a bottle of aspirin from John and promised to return it to him today, but she has been told by John’s friends that he plans to commit suicide by overdosing on aspirin today. Her duty to help or not harm him outweighs her duty to keep her promise to return the aspirin to him.
The difficulty with the prima facie duties is that it may not be self-evident to those who are ______________ immature or those who have not thought about it sufficiently, and some people may believe that they should not have these duties at all.|intellectually|Some individuals may lack the necessary mental faculties to grasp the concept of self-evident moral principles.
Medical professionals must balance the benefits and harms before making a healthcare ____________. |intervention|Before medically intervening, the healthcare professional must determine if the benefits of the intervention outweigh the possible harms. For example, some drugs have serious side effects.
The doctrine of double ______ can be illustrated in a health care setting in a patient that is undergoing chemotherapy for cancer; the treatment has some harmful side effects but the benefits of potentially eradicating the cancer outweigh the risks of the treatment. |effect|This is the term coined for this kind of scenario where harm is deliberately induced to cause good. This doctrine is usually attributed to Aquinas and is highly controversial, especially among Utilitarians.
Most moral people would agree that where we can intervene in minimizing or preventing harm, we should do this where there is little or no risk to ourselves, even if it is not in our _____________, as we would expect others to do the same for us if we were in danger. |self-interest|We should help someone in danger where there is little or no risk to ourselves. Applying the Golden Rule, we would expect others to act that way if we were in a bad position.
The philosopher _____________, in his work The Moral Limits of the Criminal Law, listed 4 principles to determine the legitimacy of government intervention in individual freedom, and these are the Harm Principle, the Offense Principle, Paternalism, and Legal Moralism. |Joel Feinberg|Paternalism is defined as having a person or the government do what they think is best for you, even if it goes against your wishes. The Paternalism Principle states that the government is morally justified in intervening to prevent an individual from harming himself severely, even if no one else is harmed. Feinberg accepts soft paternalism where those who are incompetent, for example the mentally ill or children, should be protected from hurting themselves. However, he rejects hard paternalism where even competent adults would have their liberty restricted to prevent them from harming themselves.
Feinberg expanded on the Harm Principle as laid down by _______ in that he included the obligation to act in order to prevent serious harm to others where the agent bore only a minor risk or cost to himself.|mill|Mill was the original proponent of the Harm Principle.
Feinberg’s Offence Principle permitted governments to prohibit conduct that seriously offended others, and Legal Moralism allowed for the prohibition of _______ behavior, even if no one is harmed or offended. |immoral|This is one of the principles propounded by Feinberg. He gives the example of a community attempting to hold on to their traditional ways of life by banning homosexual private acts. It is arguable that this reason is not sufficient to justify government intervention as moral pluralism is the natural course of a growing community.
____________ morality would suggest that the special parent-child relationship imposes a strong moral duty on the parents to raise, feed, educate and care for the child by virtue of an implied contract. |Common sense|There is a presumption of an implied contract in this situation even though the child is not competent to make a contract. It is similar to a citizen-state contract. If the parent fails to act in the best interests of the child, for example by abusing the child, then the State should intervene and the child no longer owes the parent a duty of obedience.
Some philosophers would argue that we have a duty of _______ concern to individuals close to us, such as family and friends. |special|Being humans, we succumb to our feelings of emotion and love for our friends and family members. Every human life should have equal value but if faced with the choice of saving the life of our child or that of a stranger, we would definitely save that of our child.
When dealing with ________, professionals such as educators, judges and doctors would normally act in accordance with the best interests principle. |children|Most courts around the world make decisions relating to children based on this principle. The UN Convention on Human Rights also states this as a fundamental principle within its charter.
From the perspective of the medical profession, the 4 main guiding ethical principles derived from common morality are beneficence, ______________, justice, and autonomy. |nonmaleficence|These are the widely accepted principles in the US that guide the actions of medical professionals.
The principle of nonmaleficence requires that we not deliberately create unnecessary harm or injury to the patient, either through acts committed or _______. |omitted|This principle applies both to acts done and those which are not done. So, the principle would be breached by a medical professional forgetting (omitting) to give a patient the correct drug at the correct time.
In order for patients in a medical environment to give their ________ consent, medical professionals must have clearly and truthfully explained all of the relevant information to them. |informed|Patients and their family members expect that medical professionals honor their moral and ethical duties to inform them completely about their situation. The veracity of the information will empower the patient to make an informed decision. 
Health and _____ professionals owe their patients and clients a duty of confidentiality regarding their information and situation. |legal|This ethical requirement is paramount in our dealings with these professionals and is clearly laid out in the ethical guidelines of the professional bodies of health and legal workers.
The principle of _______ within a biomedical context refers to equal treatment of equal persons and fair allocation of resources. |justice|Medical resources must be equally distributed between equal patients and not only, for example, to patients who are from a particular social class.
Business Ethics describes the development of responsible practices within the culture of a company in matters like corporate governance, accurate __________ and audits, fair labor practices and environmental management. |accounting|
Fair _____ practices are essential to ensure that workers are provided with a safe and humane working environment and compensated with a fair wage.|labor|Companies are ethically responsible for the health and safety of their workers. They should provide a safe environment – for example, adequate lighting and correct equipment for the workers to carry out their jobs.
When using natural resources, companies have a responsibility to balance their need to generate profits with _____________ degeneration and sustainability. |environmental|Some environmental laws are in place in several states to protect Nature, but just because there isn’t a law against it does not make it morally right. Companies should ascertain the quantity of natural resources that they can safely use while maintaining environmental sustainability, thereby allowing the resource to naturally replenish itself. Alternatively, companies can replace the resource taken. For example, to reduce deforestation, logging companies typically plant new trees to replace the ones cut down.
Many business and political leaders oppose environmental ______________ for economic reasons. |sustainability|Business and political leaders argue that the cost of environmental sustainability includes lost jobs, a lower standard of living and much higher costs to do business.
Environmentalists believe that environmental ______________ is important to the welfare of future people. |sustainability|Many environmentalists contend that unless we change our behavior, civilization will break down in a few generations.
In hiring employees, companies should have clear-cut hiring policies that prohibit any form of unfair ______________. |discrimination|This is both a legal and moral duty. Companies cannot and should not discriminate on the basis of gender, race, religion, etc.
The senders of unsolicited _____ messages could be considered as breaching our moral and ethical right to privacy. |email|As individuals, we have not consented to the receipt of these messages from unknown persons or companies and hence have the right to be left alone.
The US Patriot Act, enacted in 2001, was designed to considerably increase the surveillance and investigative powers of local law enforcement agencies, but it has been argued that since it was hastily introduced, it lacks the normal checks and balances that safeguard _______________. |civil liberties|The Patriot Act has been criticized for providing excessive powers to law enforcement agencies to interfere in the privacy rights of individuals.
It could be argued that the Californian law whereby criminals would automatically be sentenced to a 25 year to life sentence if they are convicted of a crime three times is an example of cruel justice because it applies to any crime, even shoplifting, so that three convictions for shoplifting would result in an extremely long prison sentence that is ________________ to the nature of the crime. |disproportionate|Sentences for crimes should be proportionate to the nature of the offence and justice should be seen as satisfying the principle of fairness. Therefore, for example, crimes that are nonviolent in nature tend to attract lower sentences than violent ones.
Lawyers normally have a strict duty of confidentiality to clients but this duty can be breached where the lawyer believes that the information revealed will __________ or prevent considerable injury. |save lives|This ethical ruling is laid down by the American Bar Association and their ethics panel used the example of an imaginary lawyer who is informed that a client has accidentally discharged toxic waste into the water supply of a town. The lawyer alerts authorities to avoid a health crisis.
Lawyers have a _________ obligation to put their client’s interests first over all other considerations. |fiduciary|A fiduciary obligation arises out of trust and confidence.
A crime can be defined as a violation of the State; where a law has been broken, blame must be attributed in a contest between the State and offender and the punishment meted out to achieve ___________ justice. |retributive|By its nature, retributive justice implies that the offender must ‘pay’ for his crime and that the punishment fit the crime. Hence, a more severe crime deserves a more severe punishment.
The intended outcome of retributive justice is the restoration of society’s moral balance through punishment, the __________ of further illegal behavior, and the protection of the community. |deterrence|Retributive justice aims to prevent further criminal activity of the offender and to deter others from committing similar illegal acts.
The opposite of retributive justice is restorative justice, where the violation is seen as against the person rather than the State and solutions are sought between the offender, victim, and community in an attempt to encourage _______ and reconciliation. |healing|This is the definition of restorative justice and this type of justice is gaining momentum in the US because it moves beyond punishment and deals with the healing and reconciliation that is necessary following a crime.
____________ justice relates to the fair division of a particular limited resource relative to demand. |Distributive|Resources must be divided fairly within communities and this is what distributive justice refers to in dividing resources relative to demand.
One of the most important arguments against reducing economic inequality by economic ______________ is that it violates the rights of those whose property is taken. |redistribution|In the Robin Hood style of taxation, a government may tax the rich in order to give to the poor. This is a form of economic redistribution.
The US governments’ duties in relation to their ethical obligations to citizens are laid out in the Ethics in Government Act of 1978, ___________________ Act of 1988 and 1996, and the Ethics Reform Act of 1989. |OGE Reauthorization|These are the pieces of legislation that determine the ethical guidelines of government action.
The ethical behavior of public employees is guided by Executive Orders issued by the President. The two core concepts regulating the behavior of public employees are that they should not use their position for private ____ and that they must act impartially and not favor any person or private organization.|gain|It is morally wrong to take advantage of your position within the government to receive personal gain. For example, accepting a bribe for awarding a contract to a particular group.  
The FOIA Act of 1966 lays down the rules for persons to obtain records of federal government agencies, thereby creating a degree of ____________ in government operations as well as allowing individuals access to information held about themselves by these agencies and granting them with the power to insist that the records be corrected if in error. |transparency|In particular, FOIA (Freedom of Information Act) allows people to access records about themselves and individuals can insist that the records be changed if incorrect. This is very important in protecting the privacy rights of individuals.
In 1999, the Board of Enron decided to waive the company’s Code Of Ethics in order to hide huge amounts of debt in off-balance sheet deals, thereby breaking their duty of ____ to their employees, investors, partners, and the markets as well as raising questions about the lack of checks and balances to ensure ethical behavior by companies. |care|As the leaders of a company, the Board members at Enron owed a duty of care to all those who would be affected by their actions. It is arguable that they were negligent in their duties.
The dramatic downfall of companies like Enron was precipitated by unethical financial reporting by their accountants and this led to the enactment of the Sarbanes-_____ Act in 2002, thereby removing the previous practice of self-regulation. |Oxley|Many professionals belong to and are represented by their own organizations. They usually champion self-regulation, creating internal rules of ethical and professional conduct. The downfall of Enron led to fears that the accounting profession and capital markets could not be trusted. Hence, the US government intervened via legislation to restore confidence.
Where research studies are conducted on the general population, then distributive justice must be practiced to ensure that no segment of the __________ is excluded. |population|Where a group is excluded, for example, women, then the findings will be tainted. In the past, pharmaceutical trials were mainly conducted on male subjects and as a consequence, some medications were later found to be unsuitable for the female physiology.
Some people have argued that it is ethically questionable for the US to spend excessive amounts of money-- hundreds of billions of dollars--on the military because that money could be more ____________ used in civilian orientated programs. |productively|These people believe that spending on the military is natural and inevitable but that this amount is excessive. There is also concern about the futility of war and the lack of benefits that result from waging it. Spending the money more productively on saving lives and nurturing humans – programs such as health care, sanitation, school building, housing, etc. are considered a more fruitful, as opposed to destructive, approach.
China introduced a one child policy to control their spiraling population growth, but many Americans would probably object to the state laying down such rules on the grounds that it is _____________ and breaches the human rights of the people. |paternalistic|This intervention can be viewed as paternalistic in that the state steps in like a father figure to make rules and control the actions of his ‘children’. This can be considered hard paternalism and must be weighed against the cost to society of increased population growth, where resources would be inadequate to meet the needs of more than 1 child per family.
Many experts believe that ________ development is one way to control population. |economic|Recent studies indicate a relationship between income and family size--as income increases, family size falls. Some experts believe that by raising the standard of living among the poor,  population growth will be reduced.
Recently, the pharmaceutical giant Glaxo drastically cut the prices of drugs that treat HIV because of moral pressure from individuals who claim that the drugs are too expensive for the many HIV victims in ______. |Africa|Glaxo was accused of ignoring the majority of sufferers of this disease and putting profits before saving lives. As these HIV victims were poor, they had to die because they could not afford treatment. 
There has been considerable ethical debate about the introduction of research ‘sweat shops’ by pharmaceutical companies in Third World countries to create new drugs more quickly. Despite the rationale that this policy would save more lives, questions are asked as to whether the research subjects have the power of ________ to refuse treatment as they are in a desperate plight and may not be completely aware of what is being done to them.|autonomy|The principle of autonomy in bioethics relates to the freedom of the subjects to either accept or refuse the proposed treatment.
The case of Roe v Wade (1973) acknowledges the constitutional right of privacy and gives a woman the nonabsolute right to ________. |abortion|The Constitution does not explicitly use the word “privacy” but the Supreme Court has inferred this right from various parts of the Bill of Rights and common law.
The pro-lifers in the abortion debate argue that abortion is morally wrong because it kills a human being, but they make an ethical exception to preserve the ______'s life. |mother|Where the life of the mother is in danger, then an abortion is ethically justified.
The most liberal view on abortion is that a woman’s right to choose whether to have an abortion can be exercised at ________ during the pregnancy. |any time|This view is based on the belief that the fetus is not a person and hence does not have the right to life.
The ________ voices on abortion argue that it is morally acceptable depending on the developmental stage of the fetus. |moderate|Most moderates disagree on where the line should be drawn on an acceptable time frame to allow abortions. Most do agree that it is acceptable in the first trimester of the pregnancy and unacceptable in the final trimester unless the mother’s health is threatened.
Infertility clinics create embryos in ___________ treatments, but many that are created are discarded when not used and moral controversy has erupted because some people believe that embryos have the right to life. |infertility|In the IVF process, eggs are fertilized with sperm in the laboratory to create embryos before implantation in the woman’s womb. Some people believe that embryos have the right to life because fertilization has already taken place.
The use of public funds to cover the cost of abortions for poor women can be ethically supported on the grounds that prohibition of such funding would deny women the _____ right to abortion on the grounds of their financial status and be a breach of the principle of justice. |legal|Under the principle of justice, there should be equal treatment of equals. So, if only affluent women could afford abortions, then equality would not be achieved.
With regards to suicide, the 3 viewpoints are that it is always wrong, it is always right and that it _______. |depends|Some philosophers argue that the circumstances must be considered before making a moral judgment.
It can be argued that being autonomous individuals, we should be able to choose how we live or die but some philosophers believe that this right is not absolute and that we must consider the ____________ of our actions. |consequences|This is because suicide may cause unjustified harm to those left behind; for example, families and friends.
If we witness an individual trying to commit suicide, most of us would probably try to dissuade him from going through with it but we probably have no right to permanently dissuade him as this would interfere with his rights to autonomy unless he is ___________. |incompetent|If an individual is not yet an adult or if we suspect that he is of unsound mind, then these individuals should be protected from themselves, and morally, intervention would be justifiable.
Autonomy is the ability to make one’s own _________. |decisions|The principle of respect for autonomy implies that one should be free from coercion in deciding to act, and that others are obligated to respect privacy, tell the truth and protect confidentiality.
Some people believe that suicide is never morally acceptable and most of these people base their objections on _________ grounds. |religious|Jews and Christians often turn to ‘Thou shall not murder’ as the reason God prohibits suicide, implying that suicide is self-murder. However, other theorists do not agree with this as suicide is not expressly prohibited in the Bible.
__________ is a thorny moral issue and can be defined as the act of killing or allowing the death of an individual who is hopelessly ill for reasons of mercy. |Euthanasia|It is conducted in the interests of the person undergoing euthanasia--to end their suffering and preserve their dignity or autonomy. 
___________ euthanasia occurs when an individual undergoes euthanasia without having freely given their consent and must be immoral as it ignores the wishes of the individual and hence violates their human rights. |Involuntary|This is the definition of this kind of euthanasia and would not only be morally wrong but also illegal and considered an act of murder.
Voluntary _______ euthanasia is permitted in the US because a competent individual is entitled to refuse medical treatment and it could be argued that this act is morally acceptable because it respects one’s right to autonomy as well as appeals to virtues such as kindness and compassion. |passive|Voluntary passive euthanasia occurs when a person refuses medical treatment that could save their life. Therefore, a person’s right to autonomy is respected.
