Psychologists believe that the personality, or our thought processes, actions, and capacity for emotions must actually be _______, and is part of becoming human.|learned|Although many traits are inherent in an individual at birth, many other aspects of development particularly that of the growth of a person’s character and personality must be learned through experiences and role models. The personality is the pattern of characteristics that make an individual unique, and also characterizes the person’s tendencies for certain types of behaviors and responses to outside stimuli.
Research indicates that human personality can be described using just five ______.|traits|Psychologists call this The Big Five and they are: extroversion, neuroticism, agreeableness, conscientiousness and openness.
When discussing personality traits, ___________ refers to emotional instability.|neuroticism|People who rate high in neuroticism are likely to be insecure, subject to frequent mood swings, and prone to worry.  Those who are low in neuroticism are the opposite, they are confident, calm and experience few mood swings.
When discussing personality traits, ____________ refers to how outgoing a person is.|extroversion|An extrovert is fun loving, sociable, and active.  Meanwhile, someone who rates low in extroversion is passive and avoids social contact.
In development research, nature is the __________ component of an organism’s development.|hereditary|The nature of a person can include physical, mental, and emotional traits. For example, Ernest Hemingway inherited mental illness from his father and grandfather.
In developmental research, the environmental component of an organism’s development is known as _______.|nurture|Nurture can relate to the care given to a child during his upbringing. For example, if a child was raised with funny parents who were loving, the child will likely grow up to have a positive view of the world.
Sensory deprivation studies are done in developmental psychology research to try to determine what effect the ___________ has on development.|environment|The whole nature vs. nurture debate is the question of what kind of role the environment plays in our development, and how much of our development is genetically determined.  Sensory deprivation experiments are done to try to find some answers in this debate of nature vs. nurture.
People learn intelligence by adding experience to _________.|potential|In other words, once we learn to develop meaning from various experiences and draw relationships between experiences, as well as making associations between them, we then become more aware of the world around us, and are better prepared to solve problems, analyze information, and witness correlations.
______ development is that which progresses steadily and continuously as a straight line would. In this process, each development is dependent upon those that came before.|Linear|This kind of development relies on building blocks. In education, teachers refer to this strategy of teaching as building upon prior knowledge. Example: You must first learn how to bait a hook before you can catch any fish.
As a child grows into adolescence, and into adulthood, most learn from their role models and their environment to satisfy the expectations of the _______ in which they live. These expectations are known as cultural norms.|society|A culture is a society in which people are raised with a specific set of common beliefs and ideas, mores, and often share a common language and religion.
A ____________ is the way an individual perceives him/herself.|self-concept|Self concept refers to a mental representation capturing one’s views and beliefs about oneself, but not all aspects of an individual can be viewed in its entirety as a result of the self-concept. This is really due to the subjectivity of experiencing one’s own feelings and actions from a limited perception.
A _____________ task is a specific learning that an individual needs at a certain age in order to achieve cultural approval and functional success appropriate to his/her age.|developmental|The developmental tasks are followed as a part of cultural norms by most within a society. It seems that cultural pressures push people to prepare for the next stage in life, and develop within many people a desire to study, work, and socialize with regularity and commitment to ensure advancement to the next stage of maturity within one’s life.
A critical period typically indicates a time in a person’s life when a ______ is in development.|crisis|Critical periods affect both children and adults, and can include normal stresses, as well as the traumas of death, disease, and deprivation of love. Critical periods also reference age-stages where an individual may be the most susceptible to a particular ailment or a failure to mature appropriately. For example, a child between the ages of six to eighteen is within their critical period for developing concepts regarding love and attachments, which function as the foundation for socialization.
Environmental theories are those theories that aim to explain or predict behavior based primarily on a person’s ________ and past experience, and not placing as much emphasis on genetics.|learning|Environmental theories often look at a person’s life to determine background experiences including family relationships, education, and community to determine some basic awareness of the environment in which the person was raised. The environment often indicates the kinds of influences surrounding a person’s development, and can be one of many predictors in his/her later development.
According to Abraham ______'s hierarchy of needs, at the top of the pyramid is self-actualization.|Maslow|By self-actualization, he meant the need to reach one's unique potential to the fullest.
The theory that emphasizes the interaction between the ___________ and a person’s genetic heritage is known as epigenetic.|environment|Epigenetic theories emphasize nature as well as nurture.
A ______ is a system of rules or assumptions used to predict or explain phenomena.|theory|Theories help researchers narrow down the possibilities of cause and effect situations, among many other researched topics.
Erikson proposed that there were eight stages of psycho-social development, four of which occur during childhood.  They are 1.) Trust vs. mistrust, 2.) Autonomy vs. shame and doubt, 3.) Initiative vs. guilt, 4.) ________ vs. Inferiority. |Industry|Erikson defined eight stages, and a crisis that is associated with each stage. The Industry (or Competence) vs. Inferiority stage deals with whether the child develops a sense of confidence in intellectual and social skills or develops a sense of failure and lack of confidence. 
________ Formation was studied by Erik Erikson, who constructed the major task of adolescence as identity vs. identity diffusion. |Identity|It’s defined by the question Who am I uniquely? (likes, dislikes, beliefs, traits, interests, identifications).
According to Erikson’s  eight stages of human development, the crisis experienced in the adolescent stage is ________.|identity|Erik Erikson's adolescence stage lasts from Age 12 to 18, and during this time humans deal with the Identity Crisis--Who am I? Erikson considered this the single most significant conflict a person must face. 
Erik Erikson defined eight stages of human development. The second stage involves the crisis of ________ (independence) vs. Doubt. |Autonomy|Autonomy versus Doubt (or Shame) is Erikson's second stage. It marks the beginning of self-control and self-confidence.
In _______’s theory of Basic Trust vs. mistrust (period of time in infancy), the parents must maintain an adequate environment-supportive, nurturing, and loving, so that the child will develop basic trust.|Erikson|Erikson believed that the lack of positive emotional stimulation for infants would result in the development of a mistrustful nature for the child. He viewed parents as the first role models for children, which is where children derive a sense of loving, safety, and belonging, without which, the child is unable to mature openly on an emotional level causing distrust or mistrust.
Behaviorism is a type of psychology that was developed by John Watson, and was based on an objective system, which was done through the ___________ of repeated patterns in behavior that would explain a person’s thinking process and reaction to stimuli.|observation|Behaviorism is essentially the observation of repeated patterns of behavior of an individual. A therapist or psychologist trained in this type of psychology is then able to take all the similar response patterns and determine an overview of the behaviors witnessed in an individual.
Traditional behaviorists believe that ________ plays the most important role in determining future development.|learning|Behaviorists, such as Pavlov, believed that learning took place as a result of conditioning, or the repeated presence of a stimulus to determine the learned response to the object. Example: Pavlov repeatedly rang a bell when he provided his dogs with their food. After some time with this study, Pavlov would simply ring the bell, and the dogs would arrive and wait to be fed because they had learned to associate the ringing of the bell with feeding time. Thus, a conditioned stimulus was the key to learning.
Classical ____________ is an experimental procedure in which a stimulus that normally evokes a given reflex is continually associated with a stimulus that does not usually evoke that reflex, with the result that the new stimulus will eventually evoke the reflex when presented by itself.|conditioning|Classical conditioning is best represented by the process of training/learning experienced by Pavlov’s dogs.  Pavlov would ring a bell every time he brought them some food, and eventually, the dogs would salivate whenever he rang the bell, whether he brought food or not.  That is an example of classical conditioning--associating a reflex (salivating) with a stimulus (bell ringing) that it normally is not associated with.
The law of effect is _________’s principle that responses associated with pleasant consequences tend to be repeated, while those associated with discomforting consequences tend to be eliminated.|Thorndike|This effect is known as one of the cornerstones of learning. An individual’s responses are either changed or maintained depending on the consequences that follow a response. Example: A child that pets a dog that responds to the child with licks and a wagging tail will likely continue to pet dogs and enjoy them. However, if the child later pets a dog that barks loudly and scares the child, or the dog bites the child, the child will likely develop some hesitation or fear of that dog, and perhaps all dogs.
Social learning is defined as the process of learning by _________ the actions of other people.|observing|Example: If a child witnesses her older brother earn good grades and receive praise from their parents, she may learn through this social learning process that she should work hard to make good grades as well to earn her parents praise, also.
In social learning theory, anyone who demonstrates a behavior that other people observe are known as ______.|models|A model is a role model in a sense. The model displays certain actions and characteristics within a situation that others observe and often imitate. This behavior is also known as mirroring.
Behavior modification is a set of procedures for changing human behavior, especially by using behavior _______.|therapy|Behavior modification is used by psychologists to redirect or reshape the behavior patterns of people. Through the prediction of the person’s responses, the psychologist is able to manipulate the outside forces to help create new responses for the individual.
The study of human and animal behavior from a __________ point of view, characterized by the study of animals in their natural environments is known as ethology.|biological|Ethology is a more popular study in Europe than in the U.S., and it focuses on researching inherited behavior through family genetics and lineage.
The _________ theory emphasizes the ability to think in an internal and conscious manner.|cognitive|This theory stresses the importance of an individual’s consideration of past experiences and the use of that information to make good decisions in present and future situations using previously acquired knowledge.
______ was initially trained as a biologist and naturalist, and later became a psychologist, and was known best for his studies in ethology during his early career.|Piaget|Jean Piaget is one of the most notable researchers in psychology and was a follower in the cognitive theory of development.
_____________ describes classrooms where students with disabilities and students who do not have disabilities are together.|Mainstreaming|Mainstreaming involves allowing disabled students study in normal classrooms with nondisabled students.  Disabled students are first evaluated to determine if they can meet the expectations for such a setting.
During cognitive growth, __________ is apparent when a person or thing changes to fit with its surroundings.|adaptation|This was a term used by Piaget to describe the ability of a person or thing to adjust and best match the environment, especially when it comes to way of thinking.  There are two ways in which a person adapts his/her thinking--assimilation and accommodation.
Assimilation is Piaget’s term for the ability to take in information and perceptions that are __________ with the person’s current understanding of the world.|compatible|Assimilation involves incorporating new information into previously existing thinking structures or schema (e.g., a child encounters a Dalmatian for the first time and incorporates Dalmatians into her existing schema for dogs).
Piaget’s term for the process in which people adjust or change their understanding to incorporate aspects of an experience not currently represented in the cognitive structure is known as _____________.|accommodation|Accommodation involves the formation of new mental structures or schema when new information does not fit into existing structures (e.g., a child encounters a skunk for the first time and learns that it is different from dogs and cats. She must create new representation for skunks).
___________ is a term used by Piaget to describe a hypothetical innate drive that forces a person to actively pursue cognitive adaptation. In this view, children have a natural inclination toward cognitive development.|Equilibrium|It is likely that this driving force has external factors like the expectations of parents, teachers, and peers to learn, understand, and communicate new ideas with them.
Children seem to be born with a particular ___________, which over the course of a lifetime becomes an adult personality.|temperament|An adult's personality has some kind of biological basis in the temperament he was born with as a child.  However, the environment he grows up in plays a huge role in shaping that temperament into his personality as an adult.
The ____________ approach to research involves repeated measurements obtained from the same subject over time.|longitudinal|Longitudinal studies are long-term approaches to research to obtain a consistent amount of similar information over a period of years in order to establish a firm basis for consistency. 
Probabilistic __________ is literally the direction in which growth will probably go. In cognitive development theory, the term is used to describe the stages of cognitive development--representing only what typically occurs during the development of most individuals, but not necessarily in the development of all individuals.|epigenesis|Example: Most kindergarten children learn their ABC’s before first grade, but not every single student does. This is the likelihood we recognize, but it is not definitive with all people.
A __________ pyramid is a graphic depiction of the number of individuals within given age ranges.|population|Each age range is stacked from the youngest to oldest; in the normal population, the graph typically forms a pyramid shape.
Empirical evidence is the information collected that is based solely on ___________ or objective observations.|experiments|
In a cross-_________ approach to research, a number of subjects of different ages are tested or observed at one given time.|sectional|This approach attempts to find consistency among a large number of people to find the most common patterns among the group of people.
Any group of people born at the same ____ is called a cohort.|time|A cohort is a generational group as defined in statistics, for example the cohort of people aged 30 to 39...  Because cohorts are born at approximately the same time, they are exposed to similar cultural and historical experiences.
An __________ is a test made to demonstrate the validity of some hypothesis or to determine the predictability of a theory. Variables are manipulated during the test. Any changes are contrasted with those of a control that has not been exposed to the variables of interest.|experiment|Experiments are, in essence, an opportunity to use a series of tests to determine whether or not a researcher’s beliefs or opinions about a certain thing are true or false.
The ____ score is the average score.|mean|The mean is another word for the average. The mean score is very important when dealing with norm-referenced tests, because a student's score is compared to the mean score of the rest of the class.
The ______ is a measure of central tendency.|median|Median is the value of a set of numbers that divides it exactly in half. There are as many scores above the median as below it. For example, in the following set of numbers: 1, 4, 1, 7, 9... 4 is the median, because if you arranged the numbers in order, 4 would be the middle number. 
The ____ is the most frequently occurring value in a set or distribution of scores.|mode|Given the following set of numbers: 1, 4, 1, 7, 9... the mode would be 1, because that occurs more than any other number in the group. 
Hierarchy of motives is a theory developed by Abraham ______ in which more basic needs must be met first before needs of a higher order can come into play.|Maslow|Also called the hierarchy of needs, this hierarchy starts with physiological needs at the bottom, all the way up to self-actualization needs at the top.  Needs at the bottom must be fulfilled before needs at the top become a source of motivation--for example, the desire to have a better education (self-actualization) is not likely to motivate you when you are starving to death (physiological needs).
A time-___ design is a research design that measures the characteristics and behaviors of groups of people in the same age group for similarities and differences.|lag|The Time-lag design allows researchers to note the process of human development in a general way by studying the physical and mental similarities of people within the same age range. This allows researchers to make generalizations about the rate at which an average person should develop and mature. 
Within the process of testing and research there are certain elements of the process that are arranged in a particular way so that the observer is able to observe the effects of a manipulated variable on its subjects. The arranged __________ within research are known as controls.|conditions|The control simply allows the observer to focus on one particular area of the research and the subject’s response to the control. 
