Although earlier ____________ made important contributions, DesCartes is known to have believed in more than the souls or mind of the person, and interested in the function of the human body as an integral part of psychology.|philosophers|Rene DesCartes was a French philosopher (1596-1650) who envisioned an elaborate mechanical scheme for mind/body operations.
DesCartes suggested that the human mind operates according to laws that are knowable, but are different from those that affect the ____.|body|DesCartes proposed that the mind and body interact, although their processes are completely different from each other.
DesCartes saw the mind and body as different, but they interact with each other, which is a concept known as interactive _______.|dualism|Dualism is a belief in the understanding of the inner workings of the mind, and how it works with the body.
Locke (1632-1704) was an Englishman who brought __________ to the threshold of psychology.|philosophy|John Locke was an English philosopher, founder of British empiricism. Locke summed up the Enlightenment in his belief in the middle class and its right to freedom of conscience and right to property, in his faith in science, and in his confidence in the goodness of humanity.
British Empiricism focused on the content of the mind and claimed that it is acquired through __________.|experience|Locke and other empiricists believed that we are each born into this world with our minds empty, essentially like blank slates.
_____, 1832-1920, German physiologist and psychologist.|Wundt|From 1875 Wilhelm Wundt taught at Leipzig, where he founded the first laboratory for experimental psychology. Wundt stressed the use of scientific methods in psychology, particularly through the use of introspection.
_____________ was a theory that uses culturally interconnected signs to reconstruct systems of relationships rather than studying isolated, material things in themselves.|Structuralism|Structuralism found wide use from the early 20th century in a variety of fields, and is notably based upon the developments by Wilhelm Wundt’s psychology (advanced by Englishman Edward Titchener) of the structure of the mind.
Titchener was responsible for the refinement of _____________.|introspection|This is a method for studying consciousness first used in Wundt’s laboratory. Introspection literally means to look within.
William James was an American philosopher at Harvard University who first opened the formal study of psychology within the _________.|classroom|Although James performed research and demonstration within the classroom, he never truly founded a formal school of psychology, and preferred to be known as a philosopher, and not a psychologist.
_____________ was a new type of psychology that was largely American.  It was well-established by the 1920’s, and was most popular at the University of Chicago.|Functionalism|Functionalism theory stressed the importance of interdependence among all behavior patterns and institutions within a social system to its long-term survival. 
Structuralism involves the use of a technique called _____________.|introspection|Introspection is the process of examining what is happening in one's mind and what one is thinking and feeling.
Gestalt psychology developed from German psychologist, Max __________.  It was a departure from the general intellectual climate, which emphasized a scientific approach characterized by a detachment from basic human concerns.|Wertheimer|The Gestalt school of psychology interprets phenomena as organized wholes rather than as aggregates of distinct parts, maintaining that the whole is greater than the sum of its parts.
___________ is a school of psychology which seeks to explain animal and human behavior entirely in terms of observable and measurable responses to environmental stimuli.|Behaviorism|Behaviorism was introduced (1913) by the American psychologist John B. Watson, who insisted that behavior is a physiological reaction to environmental stimuli. He rejected the exploration of mental processes as unscientific.
Skinner epitomized the ___________ approach more than any other psychologist.|behaviorist|B.F. Skinner was the leading exponent of the school of psychology known as behaviorism, which explains the behavior of humans and other animals in terms of the physiological responses of the organism to external stimuli. Like other behaviorists, he rejected unobservable phenomena of the sort that other forms of psychology, particularly psychoanalysis, had studied, concerning himself only with patterns of responses to rewards and stimuli.
________ is a type of psychology that was in many ways a reaction to behaviorism.|Humanism|Humanism’s leader was Carl Rogers (1902-1987). Humanistic psychologists believe that the individual or self should be the central concern of psychology. It is their argument that we need to get the person back into psychology.
___________ is the tendency of the human body to maintain internal equilibrium, or balance, by adjusting its physiological processes.|Homeostasis|The process of homeostasis is often compared to that of a home's thermostat.  The human body has many mechanisms that act like a thermostat to ensure that internal conditions do not vary outside a narrow range.  An example of this is the human body's efforts to maintain optimal internal body temperature by responding to outside conditions, sweating when its hot and shivering when cold.
Another shift away from Behaviorism was the emergence of _________ psychology.|Cognitive|Cognitive psychology is a school of psychology that examines internal mental processes such as problem solving, memory, and language.
__________________ (1822-1911) was a first cousin of Charles Darwin, and was greatly influenced by him.|Sir Francis Galton|Galton was intrigued by the theory of evolution and by the possibilities of improving the human race. He reasoned that before one could improve the human condition, one first needed to measure and catalog the range of human abilities and aptitudes as they exist at the moment. He devised countless tests and measurements of individual differences.
Alfred Binet (1857-1911), was a French psychologist. From 1894 he was director of the psychology laboratory at the Sorbonne. He is known for his research and innovation in testing human ____________.|intelligence|Binet, along with Théodore Simon, devised a series of tests that, with revisions, came into wide use in schools, industries, and the army. 
Psychoanalysis was the name of this psychological approach given by _____________ to a system of interpretation and therapeutic treatment of psychological disorders.|Sigmund Freud|Psychoanalysis began after Freud studied (1885-86) with the French neurologist J. M. Charcot in Paris and became convinced that hysteria was caused not by organic symptoms in the nervous system but by emotional disturbance.
Sensory __________ occurs when you are exposed to a stimulus that doesn’t change over a period of time—i.e. when someone in the same room has a strong scent of perfume, you will smell it strongly at first, but eventually you will not be able to smell the perfume.|Adaptation|Sensory adaptation occurs with other senses as well.  For example, a loud noise in the background will eventually become less irritating as you adapt to it.
Sigmund Freud was the father of ______________.|psychoanalysis|Freud (1856-1939) was an Austrian psychiatrist and the founder of psychoanalysis.
Developmental psychology is concerned with the physical and psychological development of the __________ from conception through death.|individual|Though many developmental psychologists focus only on the growth and development of children, others focus on adolescence, adulthood, old age, or a broader life span approach. A developmental psychologist searches for biological and environmental influences on patterns of growth and development.
Psychometrics involves the development of psychological _____ and the statistical interpretation of data.|tests|Psychometric tests are used to measure intelligence and ability.  They are often used by employers to reduce the cost and time associated with evaluating job applicants.  The tests are viewed as predictors of job performance and often test competencies and vocabulary associated with the demands of the workplace.
____________ Psychology is the branch of psychology that uses experimental methods to discover principles of behavior, such as those underlying sensation and perception, learning and memory, motivation and emotion.|Experimental|This is a very general term that can be applied to any approach to the study of psychological issues that uses experimental or scientific procedures. Once the term was limited to laboratory psychology.
_____________ methods in psychology are designed primarily to help us discover relationships between responses.|Observational|These relationships that observational psychology observes may be behavioral or mental, and are called R-R relationships. They do not explain cause and effect, but such relationships can provide predictions about repetitive patterns in mood and behavior.
A trick one uses to help ________ something is known as a mnemonic device.|memorize|Mnemonic devices can be acronyms, rhymes, or any other trick you use to remember something.  Common mnemonic devices are ROY G BIV (for the colors of the rainbow), 30 Days has September, April, June, and November... for the number of days per month, and In 1492, Christopher Columbus sailed the ocean blue.
The methodological approach called ____________ observation involves carefully watching behaviors.|naturalistic|This is the observation of natural processes of the subject, or person, being observed without any outside response or influence by the observer.
Observer ____ occurs when an observer allows their own motives and expectations to interfere with the objectivity of their observations.|bias|One solution to this problem may be to have observers note behaviors as they occur without full knowledge of the particular relationships they are looking for.
____________ methods involve a set of operations used to investigate relationships between manipulated events and measured events, while other events are controlled.|Experimental|Experiments also involve making observations, and involve the control and manipulation of events.
The conditions that the experimenter manipulates are called ___________ variables.|independent|The hope of the experimenter is that the manipulation of the independent variable will produce consistent, predictable changes in the dependent variable.
__________ variables are usually referred to as control variables by psychologists.|Extraneous|They are referred to as control because they are the very factors that need to be controlled.
Clinical psychology includes those psychologists whose concern is with the psychological well-being of the __________.|individual|The training and experience of clinicians provide them with the means to diagnose and treat individuals with psychological disorders.
The correlational method in psychology is utilized as a ___________ procedure that can tell us if observations are related to each other.|statistical|Saying that there is a correlation between two observations simply is another way of saying the two observations are related to each other.
In most sciences, _______ concerns center on the application of knowledge.|ethical|Psychology has a unique problem in that ethical issues often involve the accumulation of knowledge. After all, the objects of study in psychology are living organisms.  Their physical and psychological welfare must be protected.
Psychology is the scientific study of ________ and mental processes.|behavior|Psychology is the science or study of the thought processes and behavior of humans and other animals in their interaction with the environment. Psychologists study processes of sense perception, thinking, learning, cognition, emotions and motivations, personality, abnormal behavior, interactions between individuals, and interactions with the environment.
Cognition is the sensing, perceiving, knowing, judging, and problem-solving skills involved in the processing of information about the _____ in which we live.|world|Cognitions are mental events that include our thoughts, ideas, and beliefs. 
_______ are individual nerve cells.|Neurons|Neurons are unimaginably small, and are considered the building blocks of the nervous system. They exist throughout the nervous system in the billions. 
One structure that all neurons have is a _________.|cell body|The cell body is the largest concentration of mass of the cell. It contains the nucleus of the cell, which, in turn, contains the genetic information that keeps the cell functioning.
Extending away from the cell body are a number of ________-like structures called dendrites.|tentacle|The dendrite extensions reach out to receive messages from other nearby neurons and send them towards the cell body.
The _______ gland's main function is regulating the body's metabolism.|thyroid|Thyroid hormones regulate body temperature, metabolic rate, reproduction, growth, blood cell production, and more. These hormones have a powerful effect on body weight because of their ability to determine the rate at which calories are metabolized.
______ is a white, fatty substance that is found on about half the neurons in an adult’s nervous system.|Myelin|It is the presence or absence of myelin that allows us to tell the difference between gray matter (cell bodies) and white matter. 
Once ________ cells have become activated, impulses are relayed by sensory neurons toward the brain or spinal cord.|receptor|Signals from the receptor cells are carried toward the central nervous system in the sensory nerve fibers.  The pattern of signaling in these fibers, gives the body and mind essential data about the outside world.
The neurons that carry impulses away from the brain or spinal cord toward our muscles and glands are called _____ neurons.|motor|Motor neurons transmit signals away from the central nervous system toward the skeletal muscles.  They carry instructions to tissues and effect change, such as causing a hand to jerk away from a hot stove or causing an eye to blink.
Those nerve cells that transmit impulses from one part of the brain or spinal cord to another are called ____________. |interneurons|Therefore, it’s a matter of toward the brain or spinal cord on sensory neurons, within on interneurons, or away on motor neurons.
The function of a ______ is to transmit neural impulses from one place in the nervous system to another.|neuron|
The development of new drug treatments has played a big role in reducing the number of patients who have to be placed in institutions for the ________ ill.|mentally|Formerly hospitalized mental patients are now treated with psychoactive drugs and other therapies in their homes and communities.
Neurons do not necessarily fire every time they are stimulated. Each neuron has a level of stimulation that must be surpassed in order to get it to transmit an impulse. The minimum level of stimulation required to get a neuron to fire is called the neural _________. |threshold|
In _____'s developmental theory, Eros represents the life instinct sourcing from the libido, and Thanatos represents the death instinct.|Freud|Freud's theory consisted of Eros and Thanatos as opposing instincts.
Individual neurons do not accomplish much by themselves. Neural ________ must be transmitted from neuron to neuron. This transmission takes place at the synapse.|impulses|The synapse is the point of connection between two neurons or a neuron and a muscle or gland.
At the very ___ of the axon are a large number of axon terminals. These terminals contain small packets of chemical molecules. These packets are called vesicles.|end|
