Sociology is the study of human social ________--societies, social groups, and the relationships between people.|behavior|
____________ imagination is the ability to see that social forces affect individual lives and that individuals can alter the course of human history.|Sociological|Sociological imagination was defined by C. Wright Mills as something we need if we are to understand ourselves in relation to society.
The three sociological perspectives, or paradigms, are symbolic interactionism, _____________, and conflict theory.|functionalism|Symbolic interactionism, functionalism, and conflict theory are basically philosophical or theoretical perspectives; each one is a point of view from which a sociologist studies society.
The sociological perspective which focuses on _______ and face-to-face interaction is symbolic interactionism.|symbols|Symbolic interactionism is focused on the process of social interaction and on the meanings that are constructed and reconstructed in that process.
The sociological perspective which focuses on the relationship between different parts of society, where each part contributes to the overall _________ of the whole, is functionalism.|stability|Functionalism is based on the writings of Emile Durkheim and Herbert Spencer and is based on looking at things from the perspective that everything, whether apparently good or bad, serves some kind of function.
The conflict theory perspective sees society as characterized by conflict and inequality; it focuses on how the elite control the poor, and the competition for scarce _________.|resources|This is known as the conflict theory perspective, and is based on the work of Coser, Dahrendorf, and Mills.
____________ methods of research are primarily used in the natural sciences, but are also used by some sociologists.  They make use of statistical and other math-based techniques to form conclusions from their observations.|Quantitative|Quantitative methods are designed to achieve precision, in contrast to qualitative methods, which rely on personal observation and description to form conclusions, and lack the same level of precision.
Qualitative methods of research rely on ________ observation and description to form conclusions on behavior.|personal|Qualitative methods of research are not exact science like quantitative methods, which are based on statistics and math.
The most commonly used method of observation by sociologists is the survey method, which involves asking the subjects of the study _________.|questions|This is the survey method, and involves either interviewing the subjects, or having them fill out a survey.
Unless the number of subjects being studied is small, not everyone is approached in a survey--a ______________ sample is selected.|representative|A representative sample is a portion of the subject population which represents the whole.  It involves randomly choosing subjects so that everyone has an equal chance of being selected.
Stratified sampling uses differences which exist in a subject population, such as ______, as the basis for selecting, instead of doing a straight random selection.|gender|For example, if a population is divided into blue-collar and white-collar workers, the researcher might choose to select a certain number of each based on what proportion of the total population they make up, instead of choosing a completely random mix.
____________ is the study of populations and their characteristics.|Demographics|Sociologists categorize people based on age, gender, education, occupation, income, family background, etc.
The Hawthorne effect is where subjects of a study change their behavior if they ____ they are being studied.|know|Subjects in a study at the Hawthorne Plant of Western Electric Company who hadn't been subject to any changes improved their performance in the presence of researchers.
Physically attractive people are perceived as having more positive characteristics, such as kindness, sociability, honesty, etc.  This is an example of the ____ effect.|halo|The halo effect occurs when people become stereotyped based on earlier impressions and these impressions color future events.  It can be positive or negative.
In an experiment, the control group is kept under normal conditions, and the ____________ group is subject to a particular condition.|experimental|The point is to see the effect of the condition on the experimental group, and compare it to the group which hasn't experienced the condition.
Sociologists use the term ___________ variable instead of cause and dependent variable instead of effect.|independent|An independent variable is one that produces an effect on another variable.  The variable affected is dependent.  These variable change based on context.  For example in a study of poverty, hunger may be a dependent variable (poverty causes hunger).  While in a study of crime, hunger could be a independent variable (hunger causes crime).
______________ adopted a functional approach to his study of religion, stating that it served the function of acting as a source of solidarity and identification for the individuals within a society.|Durkheim|The functionalist perspective sees each aspect of society as interdependent and serving some kind of function.  This approach stresses practicality, purpose, and utility.
Unobtrusive observation is where the subjects are observed from a ________--normally the subjects do not know they are being observed, and the researcher is not directly involved with them.|distance|This is in contrast to participant observation, where the researcher joins the group of subjects, or participates in the activity being observed.
_________ analysis is where a researcher studies old records and documents in an attempt to discover something new, instead of going out and collecting his own data.|Secondary|
Ethical problems are concerns such as could the results of this research be used in harmful ways, is the _______ of the subjects being invaded, or should subjects know they are being studied?|privacy|
Socialization is the process whereby people become ______ beings or learn to take part in new social situations.|social|There are two types--primary and secondary forms.
Primary socialization is the socialization which takes a child from _____ to the point where he is a member of society as a social being.|birth|What follows is secondary socialization, which is the subsequent socialization which an already socialized person experiences.
